dataset,experiment,n_features,features,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
RFS,modes1_to_6,6,"RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6",0.06262942403554916,0.030145937576889992,0.9534968733787537,0.060270119458436966,0.029312346130609512,0.9555080533027649
RFS,top4_from_feature_analysis,4,"RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4",0.07070784270763397,0.03241650015115738,0.9407265186309814,0.06822004169225693,0.031522613018751144,0.9429965615272522
RFS,mode1_only,1,RFS_mode1,0.16528230905532837,0.12862412631511688,0.6761245131492615,0.17406708002090454,0.13637641072273254,0.6288833618164062
DLC,top4_from_feature_analysis,4,"DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode5",0.001019505551084876,0.000693444861099124,0.9999876618385315,0.0016389470547437668,0.0007373353582806885,0.9999679923057556
DLC,modes1_to_6,6,"DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6",0.001193883828818798,0.0008225003839470446,0.9999830722808838,0.001685833791270852,0.0008419324294663966,0.9999661445617676
DLC,mode1_only,1,DLC_mode1,0.033489152789115906,0.019643157720565796,0.9866741299629211,0.03457842394709587,0.02027232199907303,0.9857580661773682
FDAM,top4_from_feature_analysis,4,"fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4",0.050449907779693604,0.025763897225260735,0.9698250889778137,0.04969935119152069,0.026244817301630974,0.9697462916374207
FDAM,modes1_to_6,6,"fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6",0.05527552217245102,0.02528347633779049,0.9637764692306519,0.053007204085588455,0.025543827563524246,0.9655850529670715
FDAM,mode1_only,1,fdam_mode1,0.15972985327243805,0.12627620995044708,0.6975194215774536,0.17031382024288177,0.13656379282474518,0.6447149515151978
DELTAF,modes1_to_6,6,"deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6",0.06262942403554916,0.030145937576889992,0.9534968733787537,0.060270119458436966,0.029312346130609512,0.9555080533027649
DELTAF,top4_from_feature_analysis,4,"deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4",0.07070784270763397,0.03241650015115738,0.9407265186309814,0.06822004169225693,0.031522613018751144,0.9429965615272522
DELTAF,mode1_only,1,deltaf_mode1,0.16528230905532837,0.12862412631511688,0.6761245131492615,0.17406708002090454,0.13637641072273254,0.6288833618164062
